"Product Name","Product Type","SKU","URL","Image","Price","On/Off"
"Cold & Flu Herbal &ldquo;SHOT&rdquo;","","SCFS6","cold-flu-herbal-6-shot","/c/-/c-_-f-shot-box_1.jpg","84.0000","Catalog, Search"
"Digestive ""SHOT""","","KDS3","digestive-shot-3-pack","/d/i/digestive-shot-box-570_1.jpg","42.0000","Catalog, Search"
"Fresh Breath Plus","","KFR1","fresh-breath-plus-bottle","/f/r/fresh-breath_-570_1.jpg","6.0000","Catalog, Search"
"Fresh Breath Plus","5-Pack","KFR5","fresh-breath-plus-5-pack","/f/r/fresh-breath_box-570_1.jpg","28.0000","Catalog, Search"
"Female ""SHOT""","","KFS3","female-shot-3-pack","/f/e/female-shot-box-570_1.jpg","42.0000","Catalog, Search"
"Incurables Program","","KIP","incurables-program","/i/n/incurables-program-570_2.jpg","460.0000","Catalog, Search"
"5-Day KIDNEY Detox","","KKB","5-day-kidney-detox-program","/k/i/kidney-detox-kit-570_1.jpg","78.0000","Catalog, Search"
"5-Day LIVER Detox","","KLG","5-day-liver-detox-program","/l/i/liver-detox-kit-570_1.jpg","78.0000","Not Visible Individually"
"Male ""SHOT""","","KMS3","male-shot","/m/a/male-shot-box-570_1.jpg","66.0000","Catalog, Search"
"SuperFood Bar","","KSFB12","superfood-bar-12-pack","/s/u/superfood-bar-box_orig-570_2.jpg","40.0000","Catalog, Search"
"SuperFood CRUNCH Bar","","KSFB12CR","superfood-bar-crunch-12-pack","/s/u/superfood-bar-box_aplcin-570_1.jpg","40.0000","Catalog, Search"
"100% Herbal SuperSlim Formula","Powder","KSLBP","100-herbal-superslim-formula-powder","/s/u/superslim-powder-570_1.jpg","142.0000","Catalog, Search"
"Starter Kit","Powder","KVI","starter-kit-powder","/3/0/30day-starter-kit-570_2_1.jpg","76.0000","Catalog, Search"
"Starter Kit","Tablets","KVIT","starter-kit-tablets","/3/0/30day-starter-kit-tablets-570_1.jpg","80.0000","Catalog, Search"
"Vitality &ldquo;SHOT&rdquo;","","KVS2","vitality-shot","/v/i/vitality-shot-box-570_1.jpg","28.0000","Catalog, Search"
"Example Product Template Long","Tablets","Example Product Template Long","example-product-template-long","","1.0000","Catalog, Search"
"Intestinal Formula #1","","SI1B2","intestinal-formula-1-90caps-special","/i/f/if_1-90ct-2_1.jpg","52.0000","Catalog, Search"
"Super-C Plus","Tablets","SSCT10","super-c-plus-tablets-special","/s/u/super-c-tablets-570_2_4_1.jpg","28.0000","Not Visible Individually"
"Super-C Plus","Powder","SSCBP10","super-c-plus-powder-special","/s/u/super-c-powder-570_2_4.jpg","24.0000","Catalog, Search"
"Air Detox","","SAD4","air-detox-2oz-special","/a/i/air-detox-4-oz-570_2.jpg","21.0000","Catalog"
"Children's Echinacea","","SCE10","children-echinacea-special","/c/h/childrens-ech-570_2.jpg","19.0000","Catalog, Search"
"Cold & Flu Herbal ""10-SHOT""","","SCFS10","cold-flu-herbal-10-shot-special","/c/-/c-_-f-10-shot_4.jpg","112.0000","Catalog, Search"
"Echinacea Plus - ECH+","","IEP","echinacea-plus-2oz-special","/e/c/ech__2oz-570_2.jpg","30.0000","Catalog"
"Echinacea Plus - ECH+ ""Large Size""","","SEP410","echinacea-plus-4oz-special-temp","/e/c/ech__4oz-570_3.jpg","48.0000","Catalog"
"Lung Tonic","","SLU10","lung-tonic-special","/l/u/lung-tonic-570_2.jpg","25.0000","Catalog, Search"
"Throat & Tonsil Spray","","STTS10","throat-tonsil-spray-special","/t/h/throat-_-tonsil-spray-570_2.jpg","13.0000","Catalog, Search"
"Cold & Flu Herbal &ldquo;SHOT&rdquo;","","SCFS6B220","cold-flu-herbal-6-shot-special","/c/_/c_f-shot-buy-2.jpg","134.0000","Catalog, Search"
"SuperFood Bar","","SSFB1210","superfood-bars-12-pack-special","/s/u/superfood-bar-box_orig-570_2_1.jpg","34.0000","Catalog, Search"
"SuperFood CRUNCH Bar","","SSFB12CR10","superfood-bar-crunch-12-pack-special","/s/u/superfood-bar-box_aplcin-570_1_2.jpg","34.0000","Catalog, Search"
"Brain Formula","","SBFB21F","brain-formula-1","/b/r/brain_2_1.jpg","56.0000","Catalog"
"Intestinal Formula #1 ""Large Size""","","SI1L10","intestinal-formula-1-250caps-specials","/i/f/if_1-250ct-570_1_1.jpg","52.0000","Catalog, Search"
"SuperFood Plus","Tablets","SSFTAB10","superfood-plus-tablets-special","/s/u/superfood-tablets_570_2_1.jpg","43.0000","Catalog, Search"
"SuperTonic","","SST10","super-tonic-special","/s/u/supertonic-570_2_1.jpg","21.0000","Catalog"
"Bowel Flush ""SHOT""","","SBFS10","bowel-flush-shot-3-pack-specials","/b/o/bowel-flush-shot-box-570_1_1.jpg","37.0000","Catalog, Search"
"5-Day BOWEL Detox - Capsules","Capsules","SBDC10","5-day-bowel-detox-program-capsules-specials","/b/o/bowel-detox-kit-570_3_1.jpg","61.0000","Catalog, Search"
"30-Day DETOX - Capsules","Capsules","S30C","30-day-detox-program-capsules-special","/3/0/30-day_detox_3.jpg","306.0000","Catalog, Search"
"30-Day DETOX - Packets","Packets","S30P","30-day-detox-program-packets-special","/3/0/30-day_detox_4.jpg","306.0000","Catalog, Search"
"30-Day DETOX - Mixed","Mixed","S30M","30-day-detox-program-mixed-special","/3/0/30-day_detox_5.jpg","306.0000","Catalog, Search"
"PROTECT Formula","","SPRB21F","protect-formula-60-capsules-special","/p/r/protect_2_1.jpg","72.0000","Catalog, Search"
"SuperFood Plus","Powder","SSF10","superfood-plus-powder-special","/s/u/superfood-powder_570_2_4.jpg","37.0000","Catalog, Search"
"Heart Formula","","SHFB2","heart-formula-2oz-1","/h/e/heart_2_1_3.jpg","56.0000","Catalog, Search"
"Female Formula","","SFFB21F","female-formula-2oz-special","/f/e/female_2_1.jpg","56.0000","Catalog"
"Male Formula","","EMFB","male-formula-special","/m/a/male_2_1.jpg","60.0000","Not Visible Individually"
